file,rows,cols,base_cols_count,timestamp_cols_count,null_cells,duplicate_rows,metrics_count,min_value,max_value,min_timestamp,max_timestamp,parse_timestamp_nulls,parse_value_nulls
AVAILABILITY-data - 2026-02-11T160504.710.csv,1,367,4,363,2,0,1,3723700.0,4542395.0,2026-02-07 20:59:40,2026-02-07 22:00:00,0,0
AVAILABILITY-data - 2026-02-11T160844.912.csv,1,367,4,363,2,0,1,2632283.0,3744595.0,2026-02-07 21:59:40,2026-02-07 23:00:00,0,0
AVAILABILITY-data - 2026-02-11T160904.870.csv,1,367,4,363,2,0,1,1501845.0,2634488.0,2026-02-07 22:59:40,2026-02-08 00:00:00,0,0
AVAILABILITY-data - 2026-02-11T160918.870.csv,1,45,4,41,2,0,1,5966.0,1506093.0,2026-02-07 23:59:40,2026-02-08 00:06:20,0,0
AVAILABILITY-data - 2026-02-11T161016.059.csv,1,296,4,292,2,0,1,101.0,23971.0,2026-02-08 06:11:30,2026-02-08 07:00:00,0,0
AVAILABILITY-data - 2026-02-11T161028.766.csv,1,367,4,363,2,0,1,21786.0,43136.0,2026-02-08 06:59:40,2026-02-08 08:00:00,0,0
AVAILABILITY-data - 2026-02-11T161033.869.csv,1,367,4,363,2,0,1,42510.0,396432.0,2026-02-08 07:59:40,2026-02-08 09:00:00,0,0
AVAILABILITY-data - 2026-02-11T161038.880.csv,1,367,4,363,2,0,1,396230.0,1229277.0,2026-02-08 08:59:40,2026-02-08 10:00:00,0,0
AVAILABILITY-data - 2026-02-11T161043.388.csv,1,367,4,363,2,0,1,1228506.0,1962431.0,2026-02-08 09:59:40,2026-02-08 11:00:00,0,0
AVAILABILITY-data - 2026-02-11T161050.563.csv,1,367,4,363,2,0,1,1961609.0,2576428.0,2026-02-08 10:59:40,2026-02-08 12:00:00,0,0
AVAILABILITY-data - 2026-02-11T161055.583.csv,1,367,4,363,2,0,1,2576197.0,3354841.0,2026-02-08 11:59:40,2026-02-08 13:00:00,0,0
AVAILABILITY-data - 2026-02-11T161101.927.csv,1,367,4,363,2,0,1,3354219.0,4184409.0,2026-02-08 12:59:40,2026-02-08 14:00:00,0,0
AVAILABILITY-data - 2026-02-11T161107.120.csv,1,367,4,363,2,0,1,4180917.0,4840555.0,2026-02-08 13:59:40,2026-02-08 15:00:00,0,0
AVAILABILITY-data - 2026-02-11T161111.770.csv,1,367,4,363,2,0,1,4597157.0,4969210.0,2026-02-08 14:59:40,2026-02-08 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T161116.350.csv,1,367,4,363,2,0,1,4298940.0,4660228.0,2026-02-08 15:59:40,2026-02-08 17:00:00,0,0
AVAILABILITY-data - 2026-02-11T161122.514.csv,1,367,4,363,2,0,1,4049125.0,4477354.0,2026-02-08 16:59:40,2026-02-08 18:00:00,0,0
AVAILABILITY-data - 2026-02-11T161135.095.csv,1,367,4,363,2,0,1,2277694.0,4271296.0,2026-02-08 17:59:40,2026-02-08 19:00:00,0,0
AVAILABILITY-data - 2026-02-11T161146.101.csv,1,367,4,363,2,0,1,3699348.0,4020690.0,2026-02-08 19:59:40,2026-02-08 21:00:00,0,0
AVAILABILITY-data - 2026-02-11T161151.133.csv,1,367,4,363,2,0,1,3164539.0,3825157.0,2026-02-08 20:59:40,2026-02-08 22:00:00,0,0
AVAILABILITY-data - 2026-02-11T161156.743.csv,1,367,4,363,2,0,1,2228880.0,3173858.0,2026-02-08 21:59:40,2026-02-08 23:00:00,0,0
AVAILABILITY-data - 2026-02-11T161201.279.csv,1,367,4,363,2,0,1,1016005.0,2234089.0,2026-02-08 22:59:40,2026-02-09 00:00:00,0,0
AVAILABILITY-data - 2026-02-11T161208.642.csv,1,46,4,42,2,0,1,6974.0,1017493.0,2026-02-08 23:59:40,2026-02-09 00:06:30,0,0
AVAILABILITY-data - 2026-02-11T162459.320.csv,1,297,4,293,2,0,1,22.0,18180.0,2026-02-09 06:11:20,2026-02-09 07:00:00,0,0
AVAILABILITY-data - 2026-02-11T162503.731.csv,1,367,4,363,2,0,1,17082.0,51736.0,2026-02-09 06:59:40,2026-02-09 08:00:00,0,0
AVAILABILITY-data - 2026-02-11T162508.560.csv,1,351,4,347,2,0,1,145092.0,497985.0,2026-02-09 08:02:20,2026-02-09 09:00:00,0,0
AVAILABILITY-data - 2026-02-11T162512.685.csv,1,367,4,363,2,0,1,491463.0,1533430.0,2026-02-09 08:59:40,2026-02-09 10:00:00,0,0
AVAILABILITY-data - 2026-02-11T162516.046.csv,1,367,4,363,2,0,1,1517274.0,2308742.0,2026-02-09 09:59:40,2026-02-09 11:00:00,0,0
AVAILABILITY-data - 2026-02-11T162519.870.csv,1,367,4,363,2,0,1,2235537.0,2959242.0,2026-02-09 10:59:40,2026-02-09 12:00:00,0,0
AVAILABILITY-data - 2026-02-11T162524.898.csv,1,367,4,363,2,0,1,2951215.0,3731019.0,2026-02-09 11:59:40,2026-02-09 13:00:00,0,0
AVAILABILITY-data - 2026-02-11T162528.931.csv,1,367,4,363,2,0,1,3717357.0,4409298.0,2026-02-09 12:59:40,2026-02-09 14:00:00,0,0
AVAILABILITY-data - 2026-02-11T162838.106.csv,1,367,4,363,2,0,1,3717357.0,4409298.0,2026-02-09 12:59:40,2026-02-09 14:00:00,0,0
AVAILABILITY-data - 2026-02-11T162849.252.csv,1,367,4,363,2,0,1,4338322.0,4821904.0,2026-02-09 13:59:40,2026-02-09 15:00:00,0,0
AVAILABILITY-data - 2026-02-11T162854.690.csv,1,367,4,363,2,0,1,4657231.0,5102690.0,2026-02-09 14:59:40,2026-02-09 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T162859.700.csv,1,367,4,363,2,0,1,4962721.0,5122526.0,2026-02-09 15:59:40,2026-02-09 17:00:00,0,0
AVAILABILITY-data - 2026-02-11T162905.462.csv,1,367,4,363,2,0,1,4806280.0,5071340.0,2026-02-09 16:59:40,2026-02-09 18:00:00,0,0
AVAILABILITY-data - 2026-02-11T162909.631.csv,1,367,4,363,2,0,1,4605807.0,4833650.0,2026-02-09 17:59:40,2026-02-09 19:00:00,0,0
AVAILABILITY-data - 2026-02-11T162915.259.csv,1,357,4,353,2,0,1,4422045.0,4665047.0,2026-02-09 19:01:20,2026-02-09 20:00:00,0,0
AVAILABILITY-data - 2026-02-11T162919.781.csv,1,367,4,363,2,0,1,3504370.0,4579892.0,2026-02-09 19:59:40,2026-02-09 21:00:00,0,0
AVAILABILITY-data - 2026-02-11T162924.155.csv,1,367,4,363,2,0,1,3134388.0,3933248.0,2026-02-09 20:59:40,2026-02-09 22:00:00,0,0
AVAILABILITY-data - 2026-02-11T162929.181.csv,1,367,4,363,2,0,1,2210068.0,3157545.0,2026-02-09 21:59:40,2026-02-09 23:00:00,0,0
AVAILABILITY-data - 2026-02-11T162933.912.csv,1,367,4,363,2,0,1,977300.0,2215801.0,2026-02-09 22:59:40,2026-02-10 00:00:00,0,0
AVAILABILITY-data - 2026-02-11T162937.736.csv,1,46,4,42,2,0,1,0.0,978775.0,2026-02-09 23:59:40,2026-02-10 00:06:30,0,0
AVAILABILITY-data - 2026-02-11T163004.759.csv,1,297,4,293,2,0,1,49.0,15536.0,2026-02-10 06:11:20,2026-02-10 07:00:00,0,0
AVAILABILITY-data - 2026-02-11T163008.863.csv,1,367,4,363,2,0,1,13566.0,49158.0,2026-02-10 06:59:40,2026-02-10 08:00:00,0,0
AVAILABILITY-data - 2026-02-11T163100.598.csv,1,348,4,344,2,0,1,172862.0,520419.0,2026-02-10 08:02:50,2026-02-10 09:00:00,0,0
AVAILABILITY-data - 2026-02-11T163105.296.csv,1,367,4,363,2,0,1,518174.0,1562796.0,2026-02-10 08:59:40,2026-02-10 10:00:00,0,0
AVAILABILITY-data - 2026-02-11T163111.476.csv,1,367,4,363,2,0,1,1558975.0,2439347.0,2026-02-10 09:59:40,2026-02-10 11:00:00,0,0
